,cut,direction,obj,Al2O3,Fe,Mn,P,S,SiO2,tonnage
0,01-01-01-01-01,SN,1.3333333333333326,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
1,01-01-01-01-02,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
2,01-01-01-01-03,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
3,01-01-01-01-04,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
4,01-01-01-01-05,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
5,01-01-01-01-06,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
6,01-01-01-01-07,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
7,01-01-01-01-08,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
8,01-01-02-01-01,SN,1.650744,2.64377460067266,63.062549893856,0.032608910817055,0.101828463627706,0.0204813108274598,3.92563591326802,472.57382165281194
9,01-01-03-01-01,SN,2.362046,2.2846148433509903,62.4871952008494,0.0961147317679018,0.117892264709406,0.0185229687195104,3.83570795638111,486.044432726873
10,01-01-01-01-09,SN,1.189333,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
11,01-01-01-01-10,SN,1.333333,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
12,01-01-02-01-02,SN,0.734804,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
13,01-01-03-01-02,SN,0.997914,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
14,01-01-01-02-02,SN,0.85629,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
15,01-01-01-02-01,SN,1.063769,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
16,01-01-01-02-03,SN,0.514817,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
17,01-01-01-02-04,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
18,01-01-01-02-05,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
19,01-01-01-02-06,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
20,01-01-01-02-07,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
21,01-01-01-02-08,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
22,01-01-02-02-01,SN,1.093524,2.42592669134829,62.991775151685104,0.0381678362746606,0.109988271988984,0.0173676569620244,3.79123340205001,1603.85813107513
23,01-01-01-02-09,SN,0.559267,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
24,01-01-02-02-02,SN,0.543461,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
25,01-01-03-01-03,SN,1.0657,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
26,01-01-01-03-01,SN,1.216987,2.35386301065751,61.4897839041652,0.114337888428197,0.0789170204987782,0.0239515971526089,4.109253352843241,3038.811079176229
27,01-01-03-02-01,SN,1.668244,2.21175675073436,62.615259485648004,0.101388955903044,0.115198592193104,0.0170072923591019,3.87106398810021,1649.5757483272305
28,01-01-03-01-04,SN,0.767577,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
29,01-01-01-02-10,SN,1.575399,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
30,01-01-03-01-05,SN,1.231323,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
31,01-01-04-01-01,SN,1.945043,2.7411110353095496,61.7085376458031,0.0672976756146027,0.13134526231359,0.0146585114313877,4.31399178787521,490.429040952256
32,01-01-01-04-01,SN,1.040164,2.35293466678094,61.4051259390726,0.105866055462022,0.0769542694449907,0.0222352520048032,4.3546211152152,4971.811008087821
33,01-01-03-02-02,SN,0.839359,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
34,01-01-04-01-02,SN,1.029304,2.7372535654456,61.724787909951495,0.0676379009700686,0.13257427888407902,0.0148286683085687,4.31190419508272,1523.0641866418396
35,01-01-01-03-02,SN,0.754484,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
36,01-01-02-03-01,SN,0.915997,2.26450319309212,63.103173583006495,0.0403123951524418,0.115689375218125,0.0155564334635409,3.66365277749116,3107.98259659102
37,01-01-01-03-03,SN,0.488887,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
38,01-01-02-04-01,SN,0.755619,2.23879838203593,63.0367862803176,0.0418195695886801,0.112557808051865,0.0150889491307414,3.90146093290322,5084.98280546792
39,01-01-02-03-02,SN,0.397511,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
40,01-01-01-04-02,SN,0.434474,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
41,01-01-02-04-02,SN,0.409132,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
42,01-01-02-01-03,SN,0.773615,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
43,01-01-03-02-03,SN,0.655594,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
44,01-01-01-03-04,SN,0.621685,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
45,01-01-03-02-04,SN,0.810535,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
46,01-01-03-01-06,SN,0.734453,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
47,01-01-01-03-05,SN,0.652695,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
48,01-01-03-01-07,SN,1.497857,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
49,01-01-02-02-03,SN,0.746952,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
50,01-01-02-01-04,SN,0.702316,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
51,01-01-02-04-03,SN,0.372287,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
52,01-01-02-03-03,SN,0.407463,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
53,01-01-02-01-05,SN,0.772034,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
54,01-01-02-02-04,SN,0.544133,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
55,01-01-01-04-03,SN,0.450339,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
56,01-01-03-02-05,SN,0.853445,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
57,01-01-03-01-08,SN,0.767577,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
58,01-01-01-03-06,SN,0.662874,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
59,01-01-03-01-09,SN,1.530982,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
60,01-01-02-02-05,SN,0.746952,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
